metric,A_source,B_source,delta_A_better,ci_lo,ci_hi,p_uncorrected,n,n_models,p_holm
pcc,Crystal,GNINA-Crystal,0.04971478677984829,0.03235573634622011,0.06727301121048235,9.99950002499875e-05,282,5,0.000999950002499875
pcc,Crystal,GNINA-Apo,0.2629796607026485,0.22893327608329814,0.2984151874560312,9.99950002499875e-05,282,5,0.000999950002499875
pcc,Crystal,GNINA-AF3,0.32231645533941183,0.2854036424334275,0.36087512587174314,9.99950002499875e-05,284,5,0.000999950002499875
pcc,Crystal,AlphaFold3,0.15914079734512815,0.13101633843454918,0.18837300089005354,9.99950002499875e-05,270,5,0.000999950002499875
pcc,GNINA-Crystal,GNINA-Apo,0.21477566035860093,0.18093087863197732,0.24956086919089893,9.99950002499875e-05,280,5,0.000999950002499875
pcc,GNINA-Crystal,GNINA-AF3,0.2780380476126171,0.24129659607361365,0.31619522091704205,9.99950002499875e-05,282,5,0.000999950002499875
pcc,GNINA-Crystal,AlphaFold3,0.11025535528177388,0.08224213063785613,0.13815237017472543,9.99950002499875e-05,269,5,0.000999950002499875
pcc,GNINA-Apo,GNINA-AF3,0.05825241942828232,0.019010258037812252,0.0980001805884077,0.0036998150092495377,282,5,0.0036998150092495377
pcc,GNINA-Apo,AlphaFold3,-0.1069959700596614,-0.14500898061530823,-0.06925952131180847,9.99950002499875e-05,268,5,0.000999950002499875
pcc,GNINA-AF3,AlphaFold3,-0.16395045685991477,-0.20370586911802244,-0.12489062041446684,9.99950002499875e-05,270,5,0.000999950002499875
