TopN,int_type,H,p,significant (p<0.05)
Top100,hydrophobic_interaction,18785.484320359166,0.0,True
Top100,hydrogen_bond,20236.821092243685,0.0,True
Top100,salt_bridge,5604.122556665562,0.0,True
Top100,pi_stack,5426.216150572158,0.0,True
Top100,pi_cation_interaction,162.46389984887347,4.329651912744356e-34,True
Top100,halogen_bond,335.1698145016794,2.7900900609233448e-71,True
Top1,hydrophobic_interaction,223.55842893048523,3.2146450866365107e-47,True
Top1,hydrogen_bond,308.88719432770245,1.310903805754497e-65,True
Top1,salt_bridge,87.44555615219645,4.591636728636864e-18,True
Top1,pi_stack,69.76398566185173,2.5457722655386495e-14,True
Top1,pi_cation_interaction,5.21962023913703,0.2654961479509949,False
Top1,halogen_bond,11.764559607864387,0.019190693326812627,True
